state,Democrat,Republican,Total,Democrat_prop,Republican_prop
ALABAMA,849624,1441170,2323282,0.36569990212122333,0.620316431668648
ALASKA,153778,189951,359530,0.42771952271020497,0.5283314327038078
ARIZONA,1672143,1661686,3387326,0.49364690614366613,0.4905598103046474
ARKANSAS,423932,760647,1219069,0.34775061953014963,0.6239572985614432
CALIFORNIA,11110250,6006429,17500881,0.6348394689387351,0.3432072362528492
COLORADO,1804352,1364607,3279980,0.5501106714065329,0.4160412563491241
CONNECTICUT,1080831,714717,1823857,0.5926073151568352,0.3918711828833072
DELAWARE,296268,200603,504346,0.5874300579364167,0.3977487677110555
FLORIDA,5297045,5668731,11067456,0.47861450725442234,0.5121981962250404
GEORGIA,2473633,2461854,4999960,0.49473055784446274,0.492374738997912
HAWAII,366130,196864,579784,0.6314937976901742,0.3395471416941482
IDAHO,287021,554119,868014,0.33066402154803953,0.6383756483190364
ILLINOIS,3471915,2446891,6033743,0.5754164537667581,0.40553450818173725
INDIANA,1242416,1729519,3033118,0.4096167705971215,0.5702115776570512
IOWA,759061,897672,1700130,0.4464723285866375,0.5280019763194579
KANSAS,570323,771406,1372303,0.41559553538832167,0.5621251283426474
KENTUCKY,772474,1326646,2136768,0.3615151481115404,0.6208657186929044
LOUISIANA,856034,1255776,2148062,0.39851456801526214,0.5846088241400853
MAINE,435072,360737,828305,0.5252557934577239,0.43551228110418266
MARYLAND,1985023,976414,3037030,0.6536066486007711,0.32150291567748757
MASSACHUSETTS,2382202,1167202,3658005,0.6512298370286536,0.3190815758863096
MICHIGAN,2804040,2649852,5539302,0.5062081829082437,0.4783729069113762
MINNESOTA,1717077,1484065,3277171,0.5239509930974001,0.4528494240916937
MISSISSIPPI,539398,756764,1313759,0.41057606455978607,0.5760295457538255
MISSOURI,1253014,1718736,3025962,0.4140878173618836,0.5679965577888949
MONTANA,244786,343602,603674,0.4054936936160908,0.5691846924002028
NEBRASKA,374583,556846,956383,0.39166630941787967,0.5822416333205421
NEVADA,703486,669890,1405376,0.5005678195728402,0.4766624732455941
NEW HAMPSHIRE,424921,365654,806182,0.5270782528014766,0.45356259504677604
NEW JERSEY,2608335,1883274,4549353,0.5733419675281298,0.41396523857348505
NEW MEXICO,501614,401894,923965,0.5428928584957222,0.43496669246129455
NEW YORK,5230985,3244798,8661735,0.603918845358349,0.3746129384009093
NORTH CAROLINA,2684292,2758773,5524802,0.4858621177736324,0.4993433248829551
NORTH DAKOTA,114902,235595,361819,0.31756762359080093,0.6511404873707572
OHIO,2679165,3154834,5922202,0.45239338340705026,0.5327130010087464
OKLAHOMA,503890,1020280,1560699,0.32286174335986634,0.6537327184806295
OREGON,1340383,958448,2374321,0.5645331865404888,0.4036724604634335
PENNSYLVANIA,3458229,3377674,6915283,0.5000849567544814,0.4884361204017247
RHODE ISLAND,307486,199922,516990,0.5947619876593357,0.38670380471575855
SOUTH CAROLINA,1091541,1385103,2514096,0.43416838497813925,0.5509348091719648
SOUTH DAKOTA,150471,261043,422609,0.3560525213613529,0.6176938967225024
TENNESSEE,1143711,1852475,3053851,0.37451434271023704,0.6066029416628381
TEXAS,5259126,5890347,11315056,0.4647900991387051,0.5205760360355265
UTAH,560282,865140,1488289,0.37646048583306063,0.5812983902991959
VERMONT,242820,112704,370968,0.6545578055250049,0.3038105712622113
VIRGINIA,2413568,1962430,4460524,0.5410951717780242,0.4399550366728214
WASHINGTON,2369612,1584651,4087631,0.5797030113530306,0.3876697774334327
DISTRICT OF COLUMBIA,317323,18586,344356,0.9214969392140692,0.05397321376714795
WEST VIRGINIA,235984,545382,794652,0.29696521244519614,0.6863155192461606
WISCONSIN,1630866,1610184,3298041,0.4944953686142774,0.48822437319608825
WYOMING,73491,193559,278503,0.26387866557990397,0.6949978994840271
